SourcedStatement,SourceType,Name,Title,Justification
“We saw it as a move to inflict maximum chaos and misunderstanding”,Named Person Sources,Quinn Diaz,public policy associate at advocacy group Equality Florida,"Quinn Diaz, a public policy associate at advocacy group Equality Florida; We saw it as a move to inflict maximum chaos and misunderstanding"
"“With these laws in Florida, you’re forced to choose between living authentically and just not really participating in public life”",Named Person Sources,Quinn Diaz,public policy associate at advocacy group Equality Florida,"Quinn Diaz, a public policy associate at advocacy group Equality Florida; With these laws in Florida, you’re forced to choose between living authentically and just not really participating in public life"
"“I can imagine that a lot of trans folks in Florida who might not have access … to an accurate and affirming ID might not want to engage in that process at all, especially in such a heightened political environment”",Named Person Sources,Quinn Diaz,public policy associate at advocacy group Equality Florida,"Quinn Diaz, a public policy associate at advocacy group Equality Florida; I can imagine that a lot of trans folks in Florida who might not have access … to an accurate and affirming ID might not want to engage in that process at all, especially in such a heightened political environment"
"“Our ability to participate in this democracy in Florida, it’s been on the line for a while”",Named Person Sources,Quinn Diaz,public policy associate at advocacy group Equality Florida,"Quinn Diaz, a public policy associate at advocacy group Equality Florida; Our ability to participate in this democracy in Florida, it’s been on the line for a while"
“There’s nothing these laws will do to stop me from living my best life”,Named Person Sources,Hazel Krebs,,"Hazel Krebs, a 42-year-old transgender woman living in Kansas, one of the states with a new anti-trans law; There’s nothing these laws will do to stop me from living my best life"
“It is almost certainly stopping some people from showing up at the polls”,Named Person Sources,Hazel Krebs,,"Hazel Krebs, a 42-year-old transgender woman living in Kansas, one of the states with a new anti-trans law; It is almost certainly stopping some people from showing up at the polls"
“It really shows the resiliency of the trans community to ensure that our voices are heard and we have visibility at the ballot box”,Named Person Sources,Josie Caballero,director of voting and elections for the group that conducted the 2022 U.S. Transgender Survey,"Josie Caballero, director of voting and elections for the group that conducted the 2022 U.S. Transgender Survey; It really shows the resiliency of the trans community to ensure that our voices are heard and we have visibility at the ballot box"
"According to a tally by the Movement Advancement Project (MAP), which tracks LGBTQ+ policy",Document Sources,Movement Advancement Project (MAP),,"At least nine states in the past two years have explicitly regulated gender in this way; According to a tally by the Movement Advancement Project (MAP), which tracks LGBTQ+ policy"
"The Williams Institute at the University of California, Los Angeles School of Law, estimated ahead of the 2022 midterm election that more than 200,000 voting-eligible transgender Americans may find it difficult to vote at the time because of voter ID laws",Document Sources,"The Williams Institute at the University of California, Los Angeles School of Law",,"The Williams Institute at the University of California, Los Angeles School of Law, estimated ahead of the 2022 midterm election that more than 200,000 voting-eligible transgender Americans may find it difficult to vote at the time because of voter ID laws; The full impact of these laws amid new and evolving voter identification laws is not yet clear"
"They won’t stop me, but I can see how it would stop others",Unnamed Group of People,trans people,,"They won’t stop me, but I can see how it would stop others; Trans voters can obtain a U.S. passport or passport card that reflects their gender identity without needing to provide underlying documentation"
"Trans people, just like everyone else, want to be able to travel, start new jobs, open bank accounts, enroll in school, vote — all of those things require some form of ID",Unnamed Group of People,trans people,,"Trans people, just like everyone else, want to be able to travel, start new jobs, open bank accounts, enroll in school, vote — all of those things require some form of ID; Forcing a person to show identification that does not align with their gender identity could out them to people in their community"
“Gender nonconforming people are already under such public scrutiny nationwide”,Unnamed Group of People,gender nonconforming people,,Gender nonconforming people are already under such public scrutiny nationwide; That’s when you’re gonna see the convergence of those two elements
"“It really seems like it would only result in more discrimination, more discomfort for trans people, more interrogation and potentially just being turned away”",Unnamed Group of People,trans people,,"It really seems like it would only result in more discrimination, more discomfort for trans people, more interrogation and potentially just being turned away; Such rhetoric could also be most dangerous in states where far-right groups are trying to recruit poll watchers"
"Black and Hispanic people are among those most likely not to have a current license, so the requirement harms them too, regardless of their gender identity",Unnamed Group of People,Black and Hispanic people,,"Black and Hispanic people are among those most likely not to have a current license, so the requirement harms them too, regardless of their gender identity; Nearly 21 million voting-eligible U.S. citizens do not have a current driver’s license"
