No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Justification
51,"Some 73% of Democratic registered voters in the Reuters/Ipsos poll said they were more excited about voting in November after Harris entered the race. And while a March Reuters/Ipsos poll found that 61% respondents who intended to vote for Biden were doing so mainly to stop Trump, 52% of Harris voters in the August poll were voting to support her as a candidate rather than primarily to oppose Trump.",Named Organization,Reuters/Ipsos,,
52,"""We see it in this poll that people are more motivated about the future than the past,"" said Aimee Allison, founder of She the People, a liberal group that aims to grow the numbers of women of color in elected office. ""They see Kamala Harris as the future, and Republicans see this election as just about Trump. Voters are more likely to be engaged when given the option of 'more than' beating Trump.""",Named Person, Aimee Allison,founder of She the People,A liberal group that aims to grow the numbers of women of color in elected office
53,"But Trump voters also voiced enthusiasm about their candidate, with 64% saying their choice was more motivated by backing Trump than opposing Harris.",Named Organization,Reuters/Ipsos,,
54,"Voters picked Trump as having a better approach to managing the U.S. economy, 45% to 36%, a wider margin than Trump had in another Reuters/Ipsos poll this week.",Document,,,
55,"Harris, by contrast, had a 47% to 31% advantage on abortion policy. The issue is salient for Democrats after the conservative U.S. Supreme Court in 2022 struck down women's national right to abortion. Trump nominated three conservative justices to the court during his 2017-2021 presidency. Some 41% of voters in the poll - and 70% of Democrats - said they were worried the next president might sign a national ban on abortions.",Named Organization,Reuters/Ipsos,,
56,"The latest poll's survey period partially overlapped with the Aug. 19-22 Democratic National Convention in Chicago where Harris formally accepted her party's nomination, and it remains to be seen whether the same level of enthusiasm for Harris will continue.",Named Organization,Reuters/Ipsos,,"The poll was conducted nationally and gathered responses from 4,253 U.S. adults, including 3,562 registered voters."
57,"Independent candidate Robert F. Kennedy Jr., who suspended his campaign on Aug. 23 while the poll was still being conducted, had the support of 6% of voters in the survey.",Named Organization,Reuters/Ipsos,,
1,"A senior at North Country Union High School in Newport, Wilburn, 17, recalls being in line for the bathroom when the girl in front turned around and reached for her hair. Despite telling her not to touch it, Wilburn said the girl “grabbed” her hair.",Named Person,Aaliyah Wilburn,leader with the Vermont Student Anti-Racism Network,A senior at North Country Union High School
2,"“She then told me that I felt like a sheep and she imitated the noises of one,” said Wilburn, a leader with the Vermont Student Anti-Racism Network.",Named Person,Aaliyah Wilburn,leader with the Vermont Student Anti-Racism Network,
3,"Once, when she was wearing a head covering because she was in the midst of braiding her hair, Wilburn said a student pulled it off and ran away in the school hall. When she wore a headwrap another time, students said she looked like Marge Simpson and that she looked too African for their comfort. “Later in the day, someone took it off me,” she said.",Named Person,Aaliyah Wilburn,leader with the Vermont Student Anti-Racism Network,
4,"H.363 would expand the state’s anti-discrimination statute, which forbids discrimination at public places such as schools, stores and restaurants, in housing, and its fair employment practices law, which covers discrimination in the workplace.",document ,,,"Wilburn and the student anti-racism network support a bill, which the Vermont House passed in a landslide vote on Wednesday, that would prohibit racial discrimination by hair types, textures and styles.  &  It’s important for Wilburn because it could help limit the experiences she has faced in school. "
5,"“I wouldn’t be scared of going out with a bonnet or a head wrap if this bill was in place at the time of these incidents,” she said in an email.",Named Person,Aaliyah Wilburn,leader with the Vermont Student Anti-Racism Network,
6,"Addie Lentzner, executive director of the student anti-racism network, said she has seen hair discrimination in schools — not just in policies and norms but also in the form of microaggressions and racial bias. ",Named Person,Addie Lentzner,executive director of the student anti-racism network,
7,"“I think it’s a huge problem in our schools and this bill would help address it,” Lentzner said.",Named Person,Addie Lentzner,executive director of the student anti-racism network,
8,"Modeled after language promoted as the CROWN Act and already enacted in 23 other states, including New York and Maine, the bill aims to prevent “an erasure and minimization of the experiences of marginalized people,” particularly Black and brown people, Rep. Saudia LaMont, D-Morristown, said during a preliminary vote on the bill Tuesday.",Named Person,Saudia LaMont,Rep. D-Morristown,said during a preliminary vote on the bill Tuesday
9,"She cited a 2023 study that found 66% of Black girls in predominantly white schools and 44% of Black girls in all schools report experiencing hair discrimination, and that the experiences typically happen before they are 10.",Named Person,Saudia LaMont,Rep. D-Morristown,
10,"For her daughter, she said, it first occurred in pre-school. While picking up her daughter one afternoon she said she was dismayed to find her wearing a stop sign on her chest that read, “Please ask to touch my hair.”",Named Person,Saudia LaMont,Rep. D-Morristown,
11,"A teacher explained that her daughter was reacting to several instances of students touching and petting her hair without her consent, LaMont continued. “So it was in fact my 4-year-old’s idea to make a sign as a signal to her peers to stop violating her body and personal space,” she said.",Named Person,Saudia LaMont,Rep. D-Morristown,
12,"In another incident, her daughter’s dance teacher asked to have her recently installed braids taken out so the child’s hair could be put up in a bun to look like the majority of the other white kids in the class.

",Named Person,Saudia LaMont,Rep. D-Morristown,
13,"LaMont outlined to her House colleagues on Tuesday the ways in which caring for Black hair is a process. It can take a day to wash, dry and detangle and protective styling, such as box braids or twists, can involve 8 to 22 hours of work.",Named Person,Saudia LaMont,Rep. D-Morristown,
14,"The bill is important, she said then, because “hair type, textures, styles, protective hairstyles” are “a symbol of one’s identity and ability to show up authentically,” which includes “the freedom to take pride in one’s appearance in ways people choose that feels in alignment with the traits that are associated with their race (and) improves confidence, self esteem, dignity and respect.”
",Named Person,Saudia LaMont,Rep. D-Morristown,
15,"Black women’s hair is more likely to be perceived as unprofessional, she said, citing surveys. Many of them feel they must wear their hair straight in a job interview and report being sent home or denied a job because of their hair. The same kind of assumptions are used to prevent students with certain hairstyles from engaging in sports and other activities, she added.",Named Person,Saudia LaMont,Rep. D-Morristown,
16,"“Hair and head coverings do not determine behavior, capacity or competency and people should not be penalized, discriminated against or treated as such,” she said.",Named Person,Saudia LaMont,Rep. D-Morristown,
17,"Hair discrimination is degrading, disrespectful and invades people’s privacy in deep ways, said one of the bill’s primary sponsors, Rep. Kevin “Coach” Christie, D-Hartford. He pointed to incidents of it nationwide that have challenged athletes, students and teachers. ",Named Person,Kevin “Coach” Christie,Rep. D-Hartford,one of the bill’s primary sponsors 
18,"“It seems like a small bill but in actuality, it’s another big block in the foundation of equity in the state,” Christie said, adding that it pains him when families choose to leave Vermont after facing racial bullying, hazing and harassment.",Named Person,Kevin “Coach” Christie,Rep. D-Hartford,
19,"Representing Vermont’s most diverse community, Rep. Daisy Berbeco, D-Winooski, also a sponsor, told VTDigger the bill is an important step in advancing equity and “a step in the right direction towards people feeling safe and welcome in our state, no matter where they are in Vermont.”",Named Person,Daisy Berbeco,Rep. D-Winooski,"Representing Vermont’s most diverse community, also a sponsor"
20,"Rep. Mike Mrowicki, D-Putney, another bill sponsor, said he has heard from constituents who have faced discrimination due to their hair.",Named Person,Mike Mrowicki,Rep. D-Putney,another bill sponsor
21,"With the population and demographic of Vermont fast changing, this bill is a common sense effort to make sure that residents are not ostracized or mistreated because of who they are, he said.",Named Person,Mike Mrowicki,Rep. D-Putney,
22,"“The reality that people of color are often ostracized or mistreated because of their hair. It can be as seemingly innocent as people wanting to touch it — which is really an invasion of people’s space,” he said.

",Named Person,Mike Mrowicki,Rep. D-Putney,
1,"Voting, King said in an interview, gives “a little bit of your strength back and a little bit of your voice back. Being able to vote, being able to have a say in what happens in your society, in your state, is extremely important.”",Named Person,TJ King,An outreach specialist with the Nebraska AIDS Project,
2,Several of them said they were confused by the arrests because they had been allowed to register to vote.,Unnamed Group of People,,,
3,"At least 14 states have introduced proposals this year focused on restoration of voting rights, according to the Brennan Center for Justice. An Oregon proposal would allow felons to vote while incarcerated. A Tennessee bill would automatically restore voting rights once a sentence is completed, except for a small group of crimes. Texas legislation would restore voting rights to those on probation or parole.
",Named Organization,the Brennan Center for Justice,,
4,"“Restoring voting rights really is an issue where we’ve seen bipartisan momentum,” said Patrick Berry, counsel for the Democracy program at the Brennan Center.",Named Person,Patrick Berry,counsel for the Democracy program at the Brennan Center,
5,"More than 4.6 million people are disenfranchised in the United States because of felony convictions, according to the Sentencing Project, which studies the issue and advocates for restoration of voting rights for former felons.

",Named Organization,the Sentencing Project,,"which studies the issue and advocates for restoration of voting rights for former felons.
"
6,"In Nebraska, nearly 18,000 people are unable to vote because of felony convictions, said the Sentencing Project’s director of advocacy, Nicole Porter.",Named Person,Nicole Porter,the Sentencing Project’s director of advocacy,"That includes 7,072 who fall under the two-year wait requirement and are currently unable to cast a ballot. The rest have not completed their full sentences."
7,"Steve Smith of Civic Nebraska, part of a large coalition of groups supporting the measure, said the wait creates a group of taxpayers who can’t choose their representatives.",Named Person,Steve Smith,Civic Nebraska,"Steve Smith of Civic Nebraska, part of a large coalition of groups supporting the measure"
8,"“You’re civically dead and you can’t vote for the people who are levying those taxes,” he said",Named Person,Steve Smith,Civic Nebraska,
9,"At the time Nebraska was in step with other states. Now, while a few states require wait times for specific offenses or define completion of a sentence as including things such as fines and restitution, Nebraska is alone in requiring a general waiting period beyond imprisonment and release from parole or probation, said Margaret Love, co-founder and director of the Collateral Consequences Resource Center, which keeps a 50-state database on restoration of rights.",Named Person,Margaret Love,co-founder and director of the Collateral Consequences Resource Center,which keeps a 50-state database on restoration of rights.
10,"The bill’s author, Democratic state Sen. Justin Wayne, said he was going door to door in his first election in 2016 and was told by would-be constituents that they could not vote. Much of the reason was confusion over the law’s waiting period, he said.",Named Person,Justin Wayne,Democratic state Sen.,The bill’s author
11,"Wayne, who represents parts of Omaha with strong minority populations, said reconnecting people to the voting process is integral to successful reentry. ",Named Person,Justin Wayne,Democratic state Sen.,His bill advanced this past week from a committee to the full Legislature.
12,"“When people get out of our system, they’ve got to feel engaged in their community, and the number one way for a person to feel engaged in their community is to be able to vote for the leadership of that community,” he said.",Named Person,Justin Wayne,Democratic state Sen.,
13,"Kathy Wilcot, a member of the University of Nebraska Board of Regents, was the lone dissenter from among the nearly 20 witnesses who spoke on Wayne’s bill. Wilcot stressed she was speaking as an individual and not on behalf of the university.
",Named Person,Kathy Wilcot,a member of the University of Nebraska Board of Regents,"was the lone dissenter from among the nearly 20 witnesses who spoke on Wayne’s bill. 
"
14,"“I do think that hopefully the waiting period reinforces the fact that voting is something very special, and hopefully that will be part of the things that an individual would consider if they’re tempted to break the law again,” she said.",Named Person,Kathy Wilcot,a member of the University of Nebraska Board of Regents,
15,"Three of the witnesses with criminal records who spoke in favor of the legislation said in later interviews the waiting period is not a deterrent to future crime, but rather a barrier for those who have served their sentences.

",Unnamed Group of People,,,
16,"King works in the HIV/AIDS field and volunteers at various organizations, but said voting is still the most direct way to be involved and became tearful when talking about being unable to vote.
",Named Person,TJ King,An outreach specialist with the Nebraska AIDS Project,"King, 51, fought addiction for years and spent five years in prison after being convicted;  volunteers at various organizations; "
17,"“I felt so hopeless and helpless not being able to have my voice heard in this last election,” King said. “There are a lot of things that were on the ballot here in Nebraska that hit home with a lot of things that I advocate for.”",Named Person,TJ King,An outreach specialist with the Nebraska AIDS Project,
18,"For the people she works with, being able to register to vote provides a sense of acceptance, especially when there are so many barriers on where they can live, jobs they can work and who they can associate with, she said.",Named Person,Demetrius Gatson,executive director of Q.U.E.E.N.S Butterfly House,"Demetrius Gatson is among the more than 10,000 people in Nebraska who has no right to vote because they haven’t completed their sentences. Because of her probation, she will have to wait until 2030 to vote.

Since her 2018 release, she has obtained graduate degrees and served in a variety of volunteer roles. Now 48, Gatson has set up her own nonprofit and is executive director of Q.U.E.E.N.S Butterfly House, a safe house for women trying to reenter society."
19,"Gatson said there are critical issues she cares about, including education and criminal justice, but said, “I don’t have a say in anything that goes on in my country because I’m a felon.”",Named Person,Demetrius Gatson,executive director of Q.U.E.E.N.S Butterfly House,
20,He sees the two-year wait period as one link in a long chain of barriers for those trying to reenter society.,Named Person,Steven Scott,business owner,"Steven Scott, 33, was paroled in 2015 after serving more than four years on assault and other charges. After his release, he was rejected repeatedly for apartments, got a job only because his boss knew him and had his pursuit of an advanced degree derailed after his record came to light.

He is now married with two small children and owns his own business, a physical rehabilitation and athletic coaching center. He also has regained voting rights and cast ballots for Republican candidates in his first elections, including 2020. "
21,"“You can’t harm society by voting,” he said. “You can only help it.”",Named Person,Steven Scott,business owner,
