35,"According to the charges, Haynes carjacked Dalton while she was parked along Martin Luther King Jr. Way East in the Madison Valley neighborhood. Dalton had just picked up several dogs as part of her dog-walking business ""Grandma's Critter Care.""",Document,,,none,,,,,,,,,,,,,,,,,,,,,,
36,"Haynes forced Dalton out of the vehicle and then ran her over, killing her, according to police.",Named Organization,Seattle Police Department,none,,,,,,,,,,,,,,,,,,,,,,,
37,"Investigators say Haynes took Dalton's dog, Prince, and stabbed him to death before leaving his body in a trash can in south Seattle.",Unnamed Group of People,Investigators,none,,,,,,,,,,,,,,,,,,,,,,,
38,"Haynes was arrested the next day after police said they found his fingerprints in Dalton's car, which was abandoned at the park where Prince's body was discarded. According to the charges, Haynes had Dalton's car keys on him at the time of arrest, along with a knife that had blood and animal hair on it.",Document,,,none,,,,,,,,,,,,,,,,,,,,,,
39,"He goes to Western, they medicate him, and he’s competent. He goes to jail, he refuses meds, and he’s not competent. I’m tired of the merry-go-round,"" said Roberts. ""The state is broken. They are all about comforting a criminal and to hell with the victim.”",Named Person,Melanie Roberts,Victims granddaughter,none,,,,,,,,,,,,,,,,,,,,,,
40,Democrat Kamala Harris leads Republican Donald Trump 45% to 41% in a Reuters/Ipsos poll published on Thursday that showed the vice president sparking new enthusiasm among voters and shaking up the race ahead of the Nov. 5 election,Named Organization,Reuters/Ipsos,,,,,,,,,,,,,,,,,,,,,,,,
41,The 4 percentage point advantage among registered voters was wider than a 1 point lead Harris held over the former president in a late July Reuters/Ipsos poll.,Named Organization,Reuters/Ipsos,,,,,,,,,,,,,,,,,,,,,,,,
42,"The new poll, which was conducted in the eight days ended Wednesday and had a 2 percentage point margin of error, showed Harris picking up support among women and Hispanics.",Named Organization,Reuters/Ipsos,,,,,,,,,,,,,,,,,,,,,,,,
43,"Harris led Trump by 49% to 36% - or 13 percentage points - among both women voters and Hispanic voters. Across four Reuters/Ipsos polls conducted in July, Harris had a 9 point lead among women and a 6 point lead among Hispanics.",Named Organization,Reuters/Ipsos,,,,,,,,,,,,,,,,,,,,,,,,
44,"Trump led among white voters and men, both by similar margins as in July, though his lead among voters without a college degree narrowed to 7 points in the latest survey, down from 14 points in July.",Named Organization,Reuters/Ipsos,,,,,,,,,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,"In the seven states where the 2020 election was closest - Wisconsin, Pennsylvania, Georgia, Arizona, North Carolina, Michigan and Nevada - Trump had a 45% to 43% lead over Harris among registered voters in the poll",Named Organization,Reuters/Ipsos,,,,,,,,,,,,,,,,,,,,,,,,
47,"A separate Bloomberg News/Morning Consult poll published later on Thursday showed that Harris was either leading or tied with Trump in each of those states.
",Named Organization,Bloomberg News/Morning Consult,,,,,,,,,,,,,,,,,,,,,,,,
48,That poll showed Harris led Trump by 2 percentage points among registered voters across the seven states and was ahead by 1 point ‚Äî a statistical tie ‚Äî among likely voters. The margin of error was 1 percentage point across the seven states.,Named Organization,Bloomberg News/Morning Consult,,,,,,,,,,,,,,,,,,,,,,,,
49,"""It's obvious that running against Harris is more challenging for Trump given the shift in these numbers, but it's certainly not insurmountable,"" Matt Wolking, a Republican campaign strategist who worked on Trump's 2020 campaign, said in response to the Reuters/Ipsos poll results.",Named Person,Matt Wolking,Republican campaign strategist,who worked on Trump's 2020 campaign,,,,,,,,,,,,,,,,,,,,,,
50,"He said Trump needs to stay as focused as possible in his campaign ""so he's not scaring"" away voters who were leaning his way because they didn't like Biden.",Named Person,Matt Wolking,Republican campaign strategist,who worked on Trump's 2020 campaign,,,,,,,,,,,,,,,,,,,,,,
51,"Some 73% of Democratic registered voters in the Reuters/Ipsos poll said they were more excited about voting in November after Harris entered the race. And while a March Reuters/Ipsos poll found that 61% respondents who intended to vote for Biden were doing so mainly to stop Trump, 52% of Harris voters in the August poll were voting to support her as a candidate rather than primarily to oppose Trump.",Named Organization,Reuters/Ipsos,,,,,,,,,,,,,,,,,,,,,,,,
52,"""We see it in this poll that people are more motivated about the future than the past,"" said Aimee Allison, founder of She the People, a liberal group that aims to grow the numbers of women of color in elected office. ""They see Kamala Harris as the future, and Republicans see this election as just about Trump. Voters are more likely to be engaged when given the option of 'more than' beating Trump.""",Named Person,Aimee Allison,"Founder, She the People","founder of She the People, a liberal group that aims to grow the numbers of women of color in elected office.",,,,,,,,,,,,,,,,,,,,,,
53,"But Trump voters also voiced enthusiasm about their candidate, with 64% saying their choice was more motivated by backing Trump than opposing Harris.",Named Organization,Reuters/Ipsos,,,,,,,,,,,,,,,,,,,,,,,,
54,"Voters picked Trump as having a better approach to managing the U.S. economy, 45% to 36%, a wider margin than Trump had in another Reuters/Ipsos poll this week",Named Organization,Reuters/Ipsos,,,,,,,,,,,,,,,,,,,,,,,,
55,"Harris, by contrast, had a 47% to 31% advantage on abortion policy. Some 41% of voters in the poll - and 70% of Democrats - said they were worried the next president might sign a national ban on abortions",Named Organization,Reuters/Ipsos,,,,,,,,,,,,,,,,,,,,,,,,
56,"The poll was conducted nationally and gathered responses from 4,253 U.S. adults, including 3,562 registered voters",Named Organization,Reuters/Ipsos,,,,,,,,,,,,,,,,,,,,,,,,
57,"Independent candidate Robert F. Kennedy Jr., who suspended his campaign on Aug. 23 while the poll was still being conducted, had the support of 6% of voters in the survey.",Named Organization,Reuters/Ipsos,,,,,,,,,,,,,,,,,,,,,,,,
