No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Justification
14,Campbell Mayor Dan Furtado said the city manager is setting up a meeting with a Waymo representative for a later date.,Named Person,Dan Furtado,Campbell Mayor,
15,"""All I know is Waymo is planning to come, I only know what I've read in the news,"" Furtado told San José Spotlight.",Named Person,Dan Furtado,Campbell Mayor,
16,"Elected leaders in the West Valley said they see potential benefits in the technology, including safer driving behavior and improved transportation access. But they have also raised questions about accountability, public transit competition and how residents will respond as driverless cars enter smaller cities.",Unnamed Group of People,,Elected Leaders in West Valley,
17,"After meeting with a Waymo representative, Los Gatos Mayor Rob Moore said he was surprised to learn local municipalities have no authority over autonomous vehicle operations.",Named Person,Rob Moore,Los Gatos Mayor,
18,Moore said Waymo previously told him Los Gatos could potentially see the company's autonomous vehicles operating within the next several months.,Named Person,Rob Moore,Los Gatos Mayor,
19,"""I think the safety value proposition is undeniable,"" Moore told San José Spotlight. ""The autonomous vehicles, statistically, already are much safer than human drivers.""",Named Person,Rob Moore,Los Gatos Mayor,
20,"At the same time, he said questions remain about liability and how communities would react if a serious collision involving a driverless vehicle happened in Los Gatos. ""I don't know how a community like Los Gatos would react to that,"" he said. ""I don't know how Waymo would respond in return. So I think there's a lot of uncertainty.""",Named Person,Rob Moore,Los Gatos Mayor,
21,"Cupertino Mayor Kitty Moore said city officials are also approaching Waymo cautiously as they wait to see how the technology performs on local streets. She said Waymo representatives told city officials the vehicles generally approach intersections slower than human drivers, particularly in situations where visibility may be blocked.",Named Person,Kitty Moore,Cupertino Mayor,
22,"""We'll need to observe and ensure that it's safe,"" she told San José Spotlight. ""(Waymo) has let us know that they're safer in their belief than a typical driver when they approach an intersection.""",Named Person,Kitty Moore,Cupertino Mayor,
23,"Kitty Moore said she is watching closely to see whether Waymo could eventually compete with services like SV Hopper, particularly among older adults seeking private rides.",Named Person,Kitty Moore,Cupertino Mayor,
24,"In Los Gatos, Rob Moore said he hopes autonomous vehicles could eventually complement rather than replace public transportation options. He pointed to the nearby light rail station in Campbell, which some residents struggle to access without a car. He said Waymo could potentially serve as a ""first mile, last mile"" option to help riders connect to public transit. ",Named Person,Rob Moore,Los Gatos Mayor,
25,"I'm really interested in the ways in which Waymo could, instead of hurting the public transportation system, instead be a value add, he said.",Named Person,Rob Moore,Los Gatos Mayor,
