No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Descriptors,Source Justification
30,"Deckard rejected the idea that drag queen story times are sexually-charged or inappropriate for children. “They’re scared of what they don’t understand, but they also don’t go out of their way to educate themselves on it either,” Deckard said of lawmakers wanting to pass legislation prohibiting children from drag queen story times. “I feel like if more people who weren’t sure of it, or felt uncomfortable by it, would just come to one and see what was happening, they’d realize it’s not some big threat or some big deal. It’s just people reading stories to kids.”",Named Person,Sarah Deckard,,,who brought her 8-year-old daughter to the event at Tumbleweed + Sage
31,"Donabela Kanela and Vanessa P. Nevaeh, the other featured drag queens, saw their presence at the drag queen story time as a way to fight back against misconceptions about their community.",Named Person,Donabela Kanela,,drag queen,
32,"Donabela Kanela and Vanessa P. Nevaeh, the other featured drag queens, saw their presence at the drag queen story time as a way to fight back against misconceptions about their community.",Named Person,Vanessa P. Nevaeh,,drag queen,
33,"“We’re really trying to, I guess in a way, canvass more people to not really, like, be on our side, but understand that we aren’t the enemy,” Kanela said.",Named Person,Donabela Kanela,,drag queen,
34,"“We have to take a stance and show that there’s nothing wrong with being a drag queen,” added Nevaeh.",Named Person,Vanessa P. Nevaeh,,drag queen,
35,"“This is a pluralistic nation. We don’t have to all think alike and be alike,” said Grace Rogers, an 83-year-old retired high school government teacher who keeps a copy of the Constitution in her purse. She attended the drag queen story hour to support Miss Calvina, who works as the choir director and organist at her Episcopal church in Lubbock.",Named Person,Grace Rogers,retired high school government teacher,,"who keeps a copy of the Constitution in her purse. She attended the drag queen story hour to support Miss Calvina, who works as the choir director and organist at her Episcopal church in Lubbock."
36,"“Bigotry is inevitable. And you’ve got to learn how to roll with the punches,” said Miss Calvina. “We know that protesters exist. You come prepared with that mindset. You turn the other cheek like a good Christian.”",Named Person,Miss Calvina,"choir director, Episcopal church, Lubbock","drag queen, organist",Having worked seven years as a private tutor for people who struggle to read and write
37,"After the event ended and Adams finally closed up the shop, she was completely exhausted. But she was also extremely grateful.",Named Person,Destiny Adams,a former field director for the Democratic Party,event organizer,
38,"“You could feel it in the room, the people that were there, it was just like love,” Adams said. “It was such a good positive vibe, and it was just a great atmosphere to be in. And that’s exactly what we wanted to build here.”",Named Person,Destiny Adams,a former field director for the Democratic Party,event organizer,
39,"Since hosting the Pride event, Adams has been fielding inquiries from other LGBTQ+ organizations wanting to rent out her coffee shop for community meetings.",Named Person,Destiny Adams,a former field director for the Democratic Party,event organizer,
40,"“We don’t mind getting a whole bunch of nasty calls because the love and support always outweighs that bad and always outweighs the negative,” Adams said. “Because the people that need it the most will always show up for you again and again because if you support them, they’ll support you. And I think we saw that 100 percent.”",Named Person,Destiny Adams,a former field director for the Democratic Party,event organizer,
