,GT_Sentence,LLM_Sentence,Sentence_Match_Score,Source_Type_GT,Source_Type_LLM,Source_Type_Match,Name_GT,Name_LLM,Name_Match_Score,Title_GT,Title_LLM,Title_Match_Score,Justification_GT,Justification_LLM,Justification_Match_Score,Title_and_Justification_GT,Title_and_Justification_LLM,Title_and_Justification_Match_Score
10,"during the subcommittee hearing, shelby county commissioner erika sugarmon and city of memphis division of public works director robert knecht endorsed it and two landlord representatives spoke against it.","during the subcommittee hearing, shelby county commissioner erika sugarmon and city of memphis division of public works director robert knecht endorsed it and two landlord representatives spoke against it..during the subcommittee hearing, shelby county commissioner erika sugarmon and city of memphis division of public works director robert knecht endorsed it and two landlord representatives spoke against it..during the subcommittee hearing, shelby county commissioner erika sugarmon and city of memphis division of public works director robert knecht endorsed it and two landlord representatives spoke against it.",100.0,Named_Person,Named_Person,Yes,erika sugarmon,erika sugarmon,100,shelby county commissioner,shelby county commissioner,1.0000001192092896,,,0.0,shelby county commissioner ,shelby county commissioner ,1.0000001192092896
11,"during the subcommittee hearing, shelby county commissioner erika sugarmon and city of memphis division of public works director robert knecht endorsed it and two landlord representatives spoke against it.","during the subcommittee hearing, shelby county commissioner erika sugarmon and city of memphis division of public works director robert knecht endorsed it and two landlord representatives spoke against it.",100,Named_Person,Named_Person,Yes,robert knecht,erika sugarmon,30,city of memphis division of public works director,shelby county commissioner,0.41420209407806396,,,0.0,city of memphis division of public works director ,shelby county commissioner ,0.41420209407806396
12,"during the subcommittee hearing, shelby county commissioner erika sugarmon and city of memphis division of public works director robert knecht endorsed it and two landlord representatives spoke against it.","during the subcommittee hearing, shelby county commissioner erika sugarmon and city of memphis division of public works director robert knecht endorsed it and two landlord representatives spoke against it.",100,Anonymous_Groups,Named_Person,No,landlord representatives,erika sugarmon,11,,shelby county commissioner,0.0,,,0.0, ,shelby county commissioner ,0.0
13,thompson told the subcommittee that registration had worked well for nashville but failed to convince them.,thompson told the subcommittee that registration had worked well for nashville but failed to convince them.,100,Named_Person,Named_Person,Yes,dwayne thompson,dwayne thompson,100,rep. (d-cordova),"rep., d-cordova",0.8017616868019104,"thompson was able to pass one bill this year he thinks will help tenants. assuming the bill is signed by lee, it will require landlords to provide tenants with a phone number or online portal they can use to make maintenance requests.,this session, thompson thought he had a shot at amending state law to let memphis join its peer in middle tennessee — until he realized the tennessee association of realtors was dead set against him, no matter what compromises he offered them.",,0.0,"rep. (d-cordova) thompson was able to pass one bill this year he thinks will help tenants. assuming the bill is signed by lee, it will require landlords to provide tenants with a phone number or online portal they can use to make maintenance requests.,this session, thompson thought he had a shot at amending state law to let memphis join its peer in middle tennessee — until he realized the tennessee association of realtors was dead set against him, no matter what compromises he offered them.","rep., d-cordova ",0.39510488510131836
14,"rep. pat marsh (r-shelbyville) said he opposed the bill because he doubted bad landlords would comply with it, making it ineffective.","rep. pat marsh (r-shelbyville) said he opposed the bill because he doubted bad landlords would comply with it, making it ineffective.",100,Named_Person,Named_Person,Yes,pat marsh,pat marsh,100,rep. (r-shelbyville),"rep., r-shelbyville",0.7417538166046143,,,0.0,rep. (r-shelbyville) ,"rep., r-shelbyville ",0.7417538166046143
15,"“how are you going to find the (bad actors)? it looks to me like the good people will do it but the bad people aren’t going to change,” marsh said during the subcommittee hearing.","âhow are you going to find the (bad actors)? it looks to me like the good people will do it but the bad people arenât going to change,â marsh said during the subcommittee hearing.",98,Named_Person,Named_Person,Yes,pat marsh,pat marsh,100,rep. (r-shelbyville),"rep., r-shelbyville",0.7417538166046143,,,0.0,rep. (r-shelbyville) ,"rep., r-shelbyville ",0.7417538166046143
16,"given tar’s opposition and the legislature itself having recently moved “much farther to the right,” in his experience, thompson said a shelby county rental registry is “probably not in the cards, for several years anyway.” though he’s not running for reelection, he’s hopeful whoever succeeds him will be able to find other ways to help cities deal with slumlords.","though heâs not running for reelection, heâs hopeful whoever succeeds him will be able to find other ways to help cities deal with slumlords.given tarâs opposition and the legislature itself having recently moved âmuch farther to the right,â in his experience, thompson said a shelby county rental registry is âprobably not in the cards, for several years anyway.â",98,Named_Person,Named_Person,Yes,dwayne thompson,dwayne thompson,100,rep. (d-cordova),"rep., d-cordova",0.8017616868019104,"thompson was able to pass one bill this year he thinks will help tenants. assuming the bill is signed by lee, it will require landlords to provide tenants with a phone number or online portal they can use to make maintenance requests.,this session, thompson thought he had a shot at amending state law to let memphis join its peer in middle tennessee — until he realized the tennessee association of realtors was dead set against him, no matter what compromises he offered them.",,0.0,"rep. (d-cordova) thompson was able to pass one bill this year he thinks will help tenants. assuming the bill is signed by lee, it will require landlords to provide tenants with a phone number or online portal they can use to make maintenance requests.,this session, thompson thought he had a shot at amending state law to let memphis join its peer in middle tennessee — until he realized the tennessee association of realtors was dead set against him, no matter what compromises he offered them.","rep., d-cordova ",0.39510488510131836
17,"while most landlords do this already, thompson said he’s heard from tenants who tell him they have no way of contacting their landlord or property manager about maintenance issues.","while most landlords do this already, thompson said heâs heard from tenants who tell him they have no way of contacting their landlord or property manager about maintenance issues.",100,Named_Person,Named_Person,Yes,dwayne thompson,dwayne thompson,100,rep. (d-cordova),"rep., d-cordova",0.8017616868019104,"thompson was able to pass one bill this year he thinks will help tenants. assuming the bill is signed by lee, it will require landlords to provide tenants with a phone number or online portal they can use to make maintenance requests.,this session, thompson thought he had a shot at amending state law to let memphis join its peer in middle tennessee — until he realized the tennessee association of realtors was dead set against him, no matter what compromises he offered them.",,0.0,"rep. (d-cordova) thompson was able to pass one bill this year he thinks will help tenants. assuming the bill is signed by lee, it will require landlords to provide tenants with a phone number or online portal they can use to make maintenance requests.,this session, thompson thought he had a shot at amending state law to let memphis join its peer in middle tennessee — until he realized the tennessee association of realtors was dead set against him, no matter what compromises he offered them.","rep., d-cordova ",0.39510488510131836
18,"“i really am happy to see that pass,” rees said. “i think it’s important that tenants do have good quality contact information for their property manager or owner.”","âi really am happy to see that pass,â rees said. âi think itâs important that tenants do have good quality contact information for their property manager or owner.â",95,Named_Person,Named_Person,Yes,brian rees,brian rees,100,"staff attorney, the works inc","staff attorney, the works inc.",1.0,"who has represented hundreds of tenants in eviction proceedings in recent years.,still, rees sees the legislation’s passage as a win. because even if landlords aren’t responsive, it will provide tenants with proof they’re requesting maintenance through the proper channels — proof lawyers like rees could theoretically use in their defense.,additionally, programs designed to help low-income renters, such as legal aid or rental assistance, often take days or weeks to approve requests. and if renters aren’t able to get help, the apartment complexes they turn to for shelter may not be quick to process their applications.",who has represented hundreds of tenants in eviction proceedings in recent years,0.9808676838874817,"staff attorney, the works inc who has represented hundreds of tenants in eviction proceedings in recent years.,still, rees sees the legislation’s passage as a win. because even if landlords aren’t responsive, it will provide tenants with proof they’re requesting maintenance through the proper channels — proof lawyers like rees could theoretically use in their defense.,additionally, programs designed to help low-income renters, such as legal aid or rental assistance, often take days or weeks to approve requests. and if renters aren’t able to get help, the apartment complexes they turn to for shelter may not be quick to process their applications.","staff attorney, the works inc. who has represented hundreds of tenants in eviction proceedings in recent years",1.0
19,,"still, rees sees the legislationâs passage as a win.",0,,Named_Person,No,,brian rees,0,,"staff attorney, the works inc.",0.0,,who has represented hundreds of tenants in eviction proceedings in recent years,0.0,,"staff attorney, the works inc. who has represented hundreds of tenants in eviction proceedings in recent years",0.0
20,,"to henderson, who judges thousands of eviction cases per year, the only explanation for such action was landlord lobbying.",0,,Named_Person,No,,deborah henderson,0,,judge,0.0,,who judges thousands of eviction cases per year,0.0,,judge who judges thousands of eviction cases per year,0.0
21,,"because even if landlords arenât responsive, it will provide tenants with proof theyâre requesting maintenance through the proper channels â proof lawyers like rees could theoretically use in their defense.",0,,Named_Person,No,,brian rees,0,,"staff attorney, the works inc.",0.0,,who has represented hundreds of tenants in eviction proceedings in recent years,0.0,,"staff attorney, the works inc. who has represented hundreds of tenants in eviction proceedings in recent years",0.0
22,"about nine months ago, the two men agreed he could withhold rent until repairs were made, he said.","about nine months ago, the two men agreed he could withhold rent until repairs were made, he said.",100,Named_Person,Named_Person,Yes,bryant woods,bryant woods,100,,,0.0,"one day last fall, bryant woods’ rotted-out flooring opened up beneath his 11-year-old daughter. major leaks in the rental home had allowed mold to thrive and rot to set in. in the winters, he was forced to use space heaters or his electric oven to stay warm since the heat didn’t work; for years, woods’ relationship with his longtime landlord has been deteriorating.","bryant woodsâ rotted-out flooring opened up beneath his 11-year-old daughter; major leaks in the rental home had allowed mold to thrive and rot to set in; in the winters, he was forced to use space heaters or his electric oven to stay warm since the heat didnât work; for years, woodsâ relationship with his longtime landlord has been deteriorating.",0.9957351684570312," one day last fall, bryant woods’ rotted-out flooring opened up beneath his 11-year-old daughter. major leaks in the rental home had allowed mold to thrive and rot to set in. in the winters, he was forced to use space heaters or his electric oven to stay warm since the heat didn’t work; for years, woods’ relationship with his longtime landlord has been deteriorating."," bryant woodsâ rotted-out flooring opened up beneath his 11-year-old daughter; major leaks in the rental home had allowed mold to thrive and rot to set in; in the winters, he was forced to use space heaters or his electric oven to stay warm since the heat didnât work; for years, woodsâ relationship with his longtime landlord has been deteriorating.",0.9957351684570312
23,"he couldn’t prove his missed rent payments were part of a verbal agreement, so the judge granted the property owner’s request and told woods his family had 10 days to move.",,0,Anonymous_Person,,No,judge,,0,,,0.0,,,0.0, ,,0.0
24,"the cash didn’t make it to mals until february 2024, due to problems with how the county commission resolution was originally drafted, henderson said.","but receiving the money from the county turned into an adventure. the cash didnât make it to mals until february 2024, due to problems with how the county commission resolution was originally drafted, henderson said. by then, ettingoff was no longer with mals, and the interim executive director, loyce lambert ryan, was dealing with the fallout of a major cyber attack. ultimately, mals wasnât able to launch the program in earnest until june..recently, mals worked with a woman who was living in a house that âshould not be lived in by anyoneâ and was starting to fall behind on rent, henderson said. it seemed like a case headed toward an eviction for the tenant, a code violation for the landlord or both. but with malsâ help, the landlord is making repairs, and the tenant is using some leftover rental assistance funds to catch up on rent.",100.0,Named_Person,Named_Person,Yes,deborah henderson,deborah henderson,100,judge,judge,1.0000001192092896,"to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",one of the courtâs judges,0.9553031921386719,"judge to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",judge one of the courtâs judges,0.9151142835617065
25,but henderson has been happy with the results since then.,,0,Named_Person,,No,deborah henderson,,0,judge,,0.0,"to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",,0.0,"judge to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",,0.0
26,"recently, mals worked with a woman who was living in a house that “should not be lived in by anyone” and was starting to fall behind on rent, henderson said.",,0,Named_Person,,No,deborah henderson,,0,judge,,0.0,"to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",,0.0,"judge to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",,0.0
27,though the program has only helped a couple of tenants so far — not 300 — henderson believes it’s already proving its value.,,0,Named_Person,,No,deborah henderson,,0,judge,,0.0,"to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",,0.0,"judge to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",,0.0
28,"there are no income limits or income requirements, if you’re a tenant who is having trouble with your landlord, you need to give us a call. … if you’re a landlord and you have a troublesome tenant … give us a call.","âthere are no income limits or income requirements,â henderson told a wlok-am audience earlier this summer. âif youâre a tenant who is having trouble with your landlord, you need to give us a call. â¦ if youâre a landlord and you have a troublesome tenant â¦ give us a call.â",100,Named_Person,Named_Person,Yes,deborah henderson,deborah henderson,100,judge,judge,1.0000001192092896,"to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",one of the courtâs judges,0.9553031921386719,"judge to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",judge one of the courtâs judges,0.9151142835617065
29,"nicole grida, the new mals ceo, said her team has started creating marketing materials for the program, building partnerships with local nonprofits and screening folks who call in for other services to see if they will fit the program’s criteria, which has resulted in many promising leads.",,0,Named_Person,,No,nicole grida,,0,"ceo, mals",,0.0,"its leaders are scheduled to present to the county commission at the end of 2024, in hopes they can receive additional county funding after this first $240,000 runs out in february 2025.",,0.0,"ceo, mals its leaders are scheduled to present to the county commission at the end of 2024, in hopes they can receive additional county funding after this first $240,000 runs out in february 2025.",,0.0
30,"for the program to succeed, grida said raising greater awareness will be key, as most memphians it could help don’t yet know it exists.","for the program to succeed, grida said raising greater awareness will be key, as most memphians it could help donât yet know it exists.",100,Named_Person,Named_Person,Yes,nicole grida,nicole grida,100,"ceo, mals",mals ceo,0.7362748384475708,"its leaders are scheduled to present to the county commission at the end of 2024, in hopes they can receive additional county funding after this first $240,000 runs out in february 2025.",the new mals ceo,0.2064691185951233,"ceo, mals its leaders are scheduled to present to the county commission at the end of 2024, in hopes they can receive additional county funding after this first $240,000 runs out in february 2025.",mals ceo the new mals ceo,0.6331812143325806
31,"woods’ case, for instance, sounded like a perfect fit for mediation, henderson said, if only they’d found him before the eviction was filed.","woodsâ case, for instance, sounded like a perfect fit for mediation, henderson said, if only theyâd found him before the eviction was filed.",100,Named_Person,Named_Person,Yes,deborah henderson,deborah henderson,100,judge,judge,1.0000001192092896,"to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",one of the courtâs judges,0.9553031921386719,"judge to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",judge one of the courtâs judges,0.9151142835617065
32,"“we could have drafted a document that ensured the landlord (followed the verbal agreement),” she said.","âwe could have drafted a document that ensured the landlord (followed the verbal agreement),â she said.",98,Named_Person,Named_Person,Yes,deborah henderson,deborah henderson,100,judge,judge,1.0000001192092896,"to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",one of the courtâs judges,0.9553031921386719,"judge to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",judge one of the courtâs judges,0.9151142835617065
33,"thankfully, he found something just in time — a three-bedroom townhouse in whitehaven with an “undesirable” exterior but is “fairly nice” inside.",,0,Named_Person,,No,bryant woods,,0,,,0.0,"one day last fall, bryant woods’ rotted-out flooring opened up beneath his 11-year-old daughter. major leaks in the rental home had allowed mold to thrive and rot to set in. in the winters, he was forced to use space heaters or his electric oven to stay warm since the heat didn’t work; for years, woods’ relationship with his longtime landlord has been deteriorating.",,0.0," one day last fall, bryant woods’ rotted-out flooring opened up beneath his 11-year-old daughter. major leaks in the rental home had allowed mold to thrive and rot to set in. in the winters, he was forced to use space heaters or his electric oven to stay warm since the heat didn’t work; for years, woods’ relationship with his longtime landlord has been deteriorating.",,0.0
34,"meanwhile, grida said mals is looking for other funders interested in backing the effort.","meanwhile, grida said mals is looking for other funders interested in backing the effort.",100,Named_Person,Named_Person,Yes,nicole grida,nicole grida,100,"ceo, mals",mals ceo,0.7362748384475708,"its leaders are scheduled to present to the county commission at the end of 2024, in hopes they can receive additional county funding after this first $240,000 runs out in february 2025.",the new mals ceo,0.2064691185951233,"ceo, mals its leaders are scheduled to present to the county commission at the end of 2024, in hopes they can receive additional county funding after this first $240,000 runs out in february 2025.",mals ceo the new mals ceo,0.6331812143325806
35,"henderson believes the program will require a much longer pilot period before it’s able to produce the proof necessary to create a housing court. but, despite the rough start, she remains “very hopeful” for its future.",,0,Named_Person,,No,deborah henderson,,0,judge,,0.0,"to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",,0.0,"judge to drum up more business, henderson and mals attorney cedric harris, who is leading the program, have been spending a few nights and weekends this summer speaking to churches, on radio shows and at other events.,to reduce such evictions, one of the court’s judges, deborah henderson; shelby county commissioner erika sugarmon; and cindy ettingoff, then-ceo of memphis area legal services, last summer secured $240,000 in the county budget to pilot a pre-litigation mediation program for landlord-tenant disputes.",,0.0
36,"they said that the subsidiary would be controlled by the nonprofit board and that each director’s fiduciary duty would be to “humanity, not openai investors,” the company said on its website.","they said that the subsidiary would be controlled by the nonprofit board and that each directorâs fiduciary duty would be to âhumanity, not openai investors,â the company said on its website.",100,Named_Organization,Named_Organization,Yes,openai,openai,100,,,0.0,the company said on its website.,,0.0, the company said on its website., ,0.0
