Story,No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Justification
30-la-lower-rent-hikes,16,Tenant advocates took a very different view of the report. They said it correctly identifies problems with L.A. rent control and validates their demands for stronger limits.,Unnamed Group of People,Tenant advocates,,Tenant advocates took a very different view of the report
30-la-lower-rent-hikes,18,Tenant advocates have called for a 3% ceiling on annual rent hikes and elimination of the 2% surcharge for landlords who provide gas and electricity. They point to other L.A.-area cities that currently limit rent increases to less than 3% with no add-ons for utilities.,Unnamed Group of People,Tenant advocates,,Tenant advocates took a very different view of the report
30-la-lower-rent-hikes,20,"When LAist first requested the report, officials told a reporter the study was not subject to disclosure under the California Public Records Act, saying there was an exemption for “deliberative process.”",Unnamed Group of People,housing officials,,The city’s housing officials have been in possession of the Economic Roundtable report since May.
30-la-lower-rent-hikes,30,But landlord advocates say some property owners have yet to fully recover from the pandemic. They now worry about the potential cost of proposals to remove gas stoves and install air conditioners.,Unnamed Group of People,Landlord advocates,,
30-la-lower-rent-hikes,34,"Some L.A. city council members have floated the idea of establishing different rent control rules for “mom and pop” landlords and larger, corporate landlords.",Unnamed Group of People,L.A. City Council members,,
33-human-border_patrol_towers,3,"Border advocates are urging the state and federal governments to spend more on humanitarian aid, but state officials say they can’t afford to while facing a budget deficit.
",Unnamed Group of People,Border Advocates,,
33-human-border_patrol_towers,4,"Privacy and human rights advocates also are asking for more transparency about the capabilities of the towers and are questioning why so much money is going toward monitoring migrants. 
",Unnamed Group of People,Privacy and human rights advocates,,Some of the towers can track movement miles away.  
33-human-border_patrol_towers,9,"Activists say they are concerned with the militarization of California’s border, especially because the state already has one of the most heavily-equipped sections of the U.S. southern border.",Unnamed Group of People,Activists,,
33-human-border_patrol_towers,13,"In the San Diego area, border agents have been telling migrants who are waiting to be processed in open-air detention areas that the system will detect anyone who tries to walk away, advocates say. ",Unnamed Group of People,Border agents,,
33-human-border_patrol_towers,14,Privacy and human rights advocates say the towers pick up more than just the movement of migrants; some are pointed directly into residents’ backyards. Advocates said they’re concerned  about the potential monitoring of some 7.3 million people who live on both sides of the 150-mile international border between California and Baja California.,Unnamed Group of People,Privacy and human rights advocates,,
33-human-border_patrol_towers,21,"Other advocates noted that migrants sometimes huddle under the towers for protection from the elements, while nonprofits are the only groups providing food, water and blankets amid dropping temperatures. ",Unnamed Group of People,Advocates,,
34-human-ca_guanranteed_income,7,"Interest nevertheless grew in the last few years as COVID-19 exacerbated income inequality throughout California, researchers said. ",Unnamed Group of People,researchers,,
34-human-ca_guanranteed_income,8,Advocates point to the expansion of the federal child tax credit as proof that direct cash payments to families reduce poverty. ,Unnamed Group of People,Advocates ,,In 2021 child poverty decreased to 9% from 17.6% in 2019. 
34-human-ca_guanranteed_income,9,"Still some opponents said these types of programs discourage participation in the labor market, are too costly and fail to sufficiently reform the welfare system to bring working people out of poverty. ",Unnamed Group of People,Opponents,,some opponents
34-human-ca_guanranteed_income,22,"Researchers and advocates stress how no-strings-attached cash not only improves peoples’ financial situations, but gives them peace of mind and improves mental health. ",Unnamed Group of People,Researchers and advocates,,
34-human-ca_guanranteed_income,23,"Participants report feeling more free to spend money on self care, outings with family members or sharing their wealth with community members.",Unnamed Group of People,participants ,,
35-Trump-Tariffs-Rattling-Meta,1,"The reasons for Meta’s slide are less obvious. But close watchers of the social networking and metaverse company know it is just as vulnerable to Mr. Trump’s trade actions as some of its Silicon Valley peers, even if the details are more complicated. Here’s why.",Unnamed Group of People,,,
36-Whats-Wrong-With-Apple,1,"And company insiders worry that Apple, despite its years of gravity-defying profits, is hamstrung by the political infighting, penny pinching and talent drain that often bedevil large companies, according to more than a dozen former and current employees and advisers.",Unnamed Group of People,,,more than a dozen former and current employees and advisers.
37-DogWalker,6,"Investigators say Haynes took Dalton's dog, Prince, and stabbed him to death before leaving his body in a trash can in south Seattle.",Unnamed Group of People,Investigators,,
38-UC-enrollment,1,"The University of California will enroll fewer new California students if planned state cuts are implemented, college officials told state lawmakers during a hearing today on the system’s finances.  ",Unnamed Group of People,college officials,,college officials told state lawmakers during a hearing today on the system’s finances.  
39-84pct-coral-reefs,4,"But scientists say it’s essential to reduce greenhouse gas emissions that warm the planet, such as carbon dioxide and methane.",Unnamed Group of People,scientists,,
40-SeattleProtest,1,"The group that organized a takeover protest of a building on the University of Washington campus earlier this week is demanding that the school's administration drop all charges and suspensions against people who participated.
",Unnamed Group of People,,,The group that organized a takeover protest of a building on the University of Washington campus earlier this week
40-SeattleProtest,7,"University officials told KOMO News that SUPER UW is under suspension and does not have the benefits of a registered student organization, which includes reserving rooms on campus, but the group is not barred from using public areas of the campus.",Unnamed Group of People,University officials,,
42-Uber-Lyft-CA,6,Union advocates say AB 1340 would allow for higher pay.,Unnamed Group of People,Union advocates,,
42-Uber-Lyft-CA,9,Labor supporters also say that safeguards against arbitrary terminations and safer working conditions would be possible if AB 1340 becomes law.,Unnamed Group of People,Labor supporters,,
6-OUSD-basic-job,2,"In an update at Wednesday’s school board meeting, parents, students and school staff demanded transparency and answers about why they were kept in the dark.",Unnamed Group of People,"Parents, students, school staff",,
6-OUSD-basic-job,8,"Community members, many of whom raised concerns two weeks ago, were skeptical.",Unnamed Group of People,Community members,,
6-OUSD-basic-job,9,"Teachers from Frick United Academy of Language demanded to know why, if testing took place in April, fountains weren’t shut down until August.",Unnamed Group of People,Teachers from Frick United Academy of Language,,"The school hosted students for summer programming when fountains would have still been in use.
"
6-OUSD-basic-job,14,Community members pointed out that other districts have lower thresholds for remediation. ,Unnamed Group of People,Community members,,"In Berkeley Unified, water fixtures testing above 1 part per billion are taken offline and repaired."
7-District7-Candidate-Sues,21,"The message was cheered on by several community members and organizations such as the East Oakland Collective nonprofit.

",Unnamed Group of People,Community members,,
