Story,No,Sourced Statements,Type of Source,Name of Source,Title of Source,Source Justification
16-America's-Sleeping-Giant,5.0,"The Poor People’s Campaign is planning simultaneous actions on March 2 at over 30 state capitols to launch “the campaign and highlight the policies being promulgated in state houses across the country that are hurting the poor or distracting from addressing the real issues facing poor and low-wealth people,” according to the PPC",Named Organization,Poor People’s Campaign,,
16-America's-Sleeping-Giant,6.0,"The targeted states include Alabama, Arizona, California, the District of Columbia, Delaware, Florida, Georgia, Illinois, Indiana, Kansas, Kentucky, Massachusetts, Maryland, Maine, Michigan, Missouri, Mississippi, Nebraska, North Carolina, New Jersey, New York, Ohio, Oklahoma, Pennsylvania, Rhode Island, South Carolina, Tennessee, Texas, Vermont, Washington, Wisconsin, and West Virginia.
",Named Organization,Poor People’s Campaign,,
17-homelessness-santa-clara,4.0,"Since 2020, the number of homeless students in Santa Clara County has almost doubled, according to the California Department of Education.",Named Organization,California Department of Education,,among the rapidly growing ranks of unhoused students in South Bay schools.
17-homelessness-santa-clara,,"About 1,200 students in the East Side Union High School District and Alum Rock Union School District were reported to be homeless in 2024 — three times the number of homeless students in 2020.",Named Organization,California Department of Education,,among the rapidly growing ranks of unhoused students in South Bay schools.
17-homelessness-santa-clara,5.0,"Three other counties in the Bay Area — Alameda, Contra Costa and San Mateo — had
between 2,100 and 4,700 homeless students enrolled in their schools in 2023. According to
the state, 10% to 12% of those students were living in temporary shelters that year.",Named Organization,California Department of Education,,
17-homelessness-santa-clara,10.0,"Out of the 1,974 homeless students enrolled at East Side in 2022-2023, 488 were living in temporary shelters, according to the state education department, while 75 students were living in hotels and motels, and 33 students were temporarily unsheltered or living in abandoned buildings, campgrounds, vehicles, trailer parks or train and bus stations.",Named Organization,California Department of Education,,
17-homelessness-santa-clara,,"That same year, a majority of homeless students in the district were unable to pass the Smarter Balanced Summative Assessments, standardized tests for mathematics and language arts. Around 78% of homeless students were unable to meet the standards for mathematics, while 51% were unable to meet the standard for language arts.",Named Organization,California Department of Education,,
18-wyoming-primary-dems,2.0,"But Niobrara County’s Democrats, who account for just 2.6% of registered voters, are the most outnumbered by Republicans in the 30 states that track local party affiliation, according to Associated Press election data.",Named Organization,Associated Press,,
19-oakland-sues-SW-airlines,8.0,"A Southwest spokesperson told The Oaklandside that the assertion that any Oakland employee was forced to work while sick or take unpaid absences is unfounded. 
",Named Organization,Southwest Airlines,,
19-oakland-sues-SW-airlines,9.0,"Southwest Airlines fully complies with applicable sick leave laws in Oakland and California, as well as with the terms of a December 2020 settlement agreement with the city, Although Southwest remains willing to address the city’s concerns about sick leave policies, the airline is prepared to vigorously defend itself against these frivolous claims in court, including by asking the court to address the city’s own breach of the settlement agreement.",Named Organization,Southwest Airlines,,
20-bill-easier-access,4.0,"According to the Board of Registered Nursing, 92 out of 152 publicly funded nursing programs were denied access to clinic placements. 
",Named Organization,Board of Registered Nursing,,
22-Judge-rules-breona-taylor,8.0,"Researchers behind Mapping Police Violence released a new database Wednesday that focuses on nonfatal police encounters in the United States between 2017 and 2022, the Guardian first reported.  ",Named Organization,The Guardian,,
22-Judge-rules-breona-taylor,10.0,"Black people are more susceptible to nonfatal police violence than being killed by police, the report found. 

",Named Organization,The Guardian,,
23-black-landowners-11mins,12.0,"In April, Capital B reported that Thomas K. Bond, a hearing officer with the Georgia Public Service Commission, approved Sandersville’s request to move forward with condemning properties to construct their railroad spur.
",Named Organization,Capital B,,
24-what-happens-to-migrants,3.0,"As Documented covered in the past, this led to the expulsion of more than 2.8 million people. 
",Named Organization,Documented,,
25-ballot-access-trans,5.0,"At least nine states in the past two years have explicitly regulated gender in this way, according to a tally by the Movement Advancement Project (MAP), which tracks LGBTQ+ policy.",Named Organization,Movement Advancement Project,,"the Movement Advancement Project (MAP), which tracks LGBTQ+ policy.
"
25-ballot-access-trans,12.0,"The ACLU sued the agency for discrimination, claiming the rule was adopted illegally because it didn’t follow proper administrative procedure. ",Named Organization,ACLU,,
25-ballot-access-trans,15.0,"Nearly 21 million voting-eligible U.S. citizens do not have a current driver’s license, according to the Center for Democracy and Civic Engagement at the University of Maryland, whose research was partially supported by VoteRiders. ",Named Organization,Center of Democracy and Civic Engagement,,
25-ballot-access-trans,17.0,"The Williams Institute at the University of California, Los Angeles School of Law, estimated ahead of the 2022 midterm election that more than 200,000 voting-eligible transgender Americans may find it difficult to vote at the time because of voter ID laws. 
",Named Organization,"The Williams Institute at the University of California, Los Angeles School of Law",,
27-general-assembly-landlords,1.0,"It’s an important enough right that explaining it to tenants was one of the key ways Shelby County said it hoped to deploy a recent $250,000 grant.",Named Organization,Shelby County,,
27-general-assembly-landlords,4.0,"The Tennessee Association of Realtors is the sixth largest spender on Tennessee politics, according to the Tennessee Lookout’s database, having spent $6.5 million on lobbying, campaign donations and other political expenditures since 2009. ",Named Organization,Tennessee Lookout,,
27-general-assembly-landlords,7.0,"The Tennessee Association of Realtors has been Swann’s top funder since the start of 2009, according to the Tennessee Lookout, giving him $18,750. It has also given Boyd $11,500 since 2009, making it his No. 6 funder.",Named Organization,Tennessee Lookout,,
29-tim-scott-deregulate,5.0,"A detailed Los Angeles Times investigation published in November 2023 reported a number of issues at AHF-owned properties, including apartments infested with cockroaches, exploding radiators, water shut-offs so regular that tenants had to defecate in wastebaskets, violent crime and drug dealing left unaddressed, and months-long elevator shut-offs that left disabled tenants stuck on upper floors or forced to sleep in the lobby.",Named Organization,Los Angeles Times,,"HUD's decision to give this grant to AHF is highly questionable, given the organization's track record of managing its own residential properties."
29-tim-scott-deregulate,6.0,"While many of these problems are common at residential hotels on Skid Row, AHF-managed properties were more frequently hit with code complaints and emergency calls than similar properties, reported the Times.",Named Organization,Los Angeles Times,,
29-tim-scott-deregulate,7.0,"A former AHF employee described the living conditions at foundation properties as ""inhumane.""",Named Organization,Los Angeles Times,,
29-tim-scott-deregulate,8.0,"HUD told me in a statement that AHF ""is part of a team that applied for these awards. The team is not only eligible, but the best qualified applicant.""
",Named Organization,U.S. Department of Housing and Urban Development (HUD),,
29-tim-scott-deregulate,9.0,"According to HUD, that's not the case.
",Named Organization,U.S. Department of Housing and Urban Development (HUD),,
29-tim-scott-deregulate,13.0,"The vast majority of subsidized housing units in Washington, D.C., aren't making enough money to cover their operating expenses, reports BisNow. ",Named Organization,BisNow,,
29-tim-scott-deregulate,14.0,"More than 80% of housing properties that have received D.C. funding aren't bringing in enough rental income to pay their mortgages and maintenance costs, according to the District's Department of Housing and Community Development.",Named Organization, District's Department of Housing and Community Development,,
29-tim-scott-deregulate,15.0,"The scale of the crisis is viewed as existential: 22,000 units that house 48,000 vulnerable residents are at risk of foreclosure today, according to DHCD.",Named Organization, District's Department of Housing and Community Development,,
29-tim-scott-deregulate,17.0,"Delinquencies have risen dramatically, the report [ by Apartment and Office Building Association] concludes, because of D.C.'s pandemic-era policies that have tripled the length of the legal process required to evict nonpaying tenants.",Named Organization,Apartment and Office Building Association,,"Landlords are blaming the situation on a mix of higher operating costs and the housing court delays caused by D.C.'s pandemic-era eviction policies, which have allowed tenants to stay for years in their units without paying rent."
30-la-lower-rent-hikes,1.0, The council approved that motion and called for a study to “conclude within 3 months.”,Named Organization,L.A. City Council,,
30-la-lower-rent-hikes,26.0,LAist noted in its correspondence with housing department officials that the report was not a draft but was a finished product submitted by the contractor.,Named Organization,Laist,,
32-openai_board,1.0,"They said that the subsidiary would be controlled by the nonprofit board and that each director’s fiduciary duty would be to “humanity, not OpenAI investors,” the company said on its website.
",Named Organization,OpenAI,,
32-openai_board,10.0,"In a second statement, Anthropic added that there was “no attempt to ‘oust’ Sam Altman at the time the founders of Anthropic left OpenAI.”
",Named Organization,Anthropic,,
32-openai_board,16.0,The confrontation between Mr. Sutskever and Ms. Brockman was reported earlier by The Wall Street Journal.,Named Organization,The Wall Street Journal,,
33-human-border_patrol_towers,5.0,"Customs and Border Protection says the surveillance equipment is necessary to monitor remote, rugged areas like Jacumba Hot Springs and the Otay Mountain Wilderness in San Diego County, which are increasingly becoming destinations for migrants from around the world to cross into the United States. ",Named Organization,Customs and Border Protection,,
33-human-border_patrol_towers,6.0,Border Patrol says capacity and personnel restraints at its facilities can cause delays in processing. ,Named Organization,Border Patrol,,
33-human-border_patrol_towers,7.0,"The Department of Homeland Security, its parent organization, says the equipment is necessary to detect illegal crossings, keep up with smugglers’ movements and protect the safety of Border Patrol agents. ",Named Organization,Dept of Homeland Security,,parent organization
33-human-border_patrol_towers,11.0,"Customs and Border Protection describes them on its website as “a partner that never sleeps, never needs to take a coffee break, never even blinks.” ",Named Organization,Customs and Border Protection,,"Powered by solar panels, the autonomous surveillance towers can detect humans from a mile and a half away and operate around the clock."
33-human-border_patrol_towers,12.0,"According to an Anduril promotional video, the system alerts border agents on their devices when it detects an object and shows them an image highlighting the item. ",Named Organization,Anduril,,
33-human-border_patrol_towers,16.0,An Anduril official said in its promotion video that its autonomous towers on private property can be programmed to exclude a person’s home or farm from monitoring.,Named Organization,Anduril,,
33-human-border_patrol_towers,19.0,"At least one state agency, the California Coastal Commission, has approved Customs and Border Protection’s request to erect temporary surveillance towers in Del Mar, an affluent coastal town about 35 miles away from the border, and on the Vandenberg Air Force Base in Santa Barbara County, about 295 miles from the San Ysidro border crossing. The agency noted those towers were “intended to detect and track illegal border activities.” ",Named Organization,California Coastal Commission,,"In recent years, Customs and Border Protection has requested to install border surveillance equipment in areas away from the border. "
33-human-border_patrol_towers,20.0,"Customs and Border Protection says the surveillance equipment is necessary to monitor remote, rugged areas that are increasingly becoming destinations for migrants from around the world to cross into the United States.",Named Organization,Customs and Border Protection,,
33-human-border_patrol_towers,27.0,"The state allocated $150 million for the fiscal year ending this June for sheltering services for migrants. That money is “fully committed” for the year, a spokesman said. ",Named Organization,California state,,
33-human-border_patrol_towers,28.0,"“California’s investment to assist the federal government, provide humanitarian services, and help new arrivals totals over $1.3 billion since 2019,” Newsom’s office said earlier this month. “California cannot maintain its efforts without federal support and has continued to advocate to Congress to provide federal funding to local communities that are receiving new arrivals.”",Named Organization,Newsom's Office,,
34-human-ca_guanranteed_income,6.0,"While there were positive impacts on mental health and wellbeing the first year, when the pandemic broke out, the benefits were less pronounced, according to Penn’s research. ",Named Organization,Penn's Center for Guaranteed Income Research,,That pilot is one of the only experiments with published study results. 
34-human-ca_guanranteed_income,17.0,"The lab found, in general, that food and groceries are the top way participants are spending money, making up 35% of the funds spent. Retail sales and services are a close second at 31%.",Named Organization,Stanford Guaranteed Income Lab,,"Though data from the L.A. County guaranteed income program is limited, the Stanford Guaranteed Income Lab tracks 31 pilot programs throughout the country, including the Breathe pilot. "
34-human-ca_guanranteed_income,18.0,"Participants also spent the money on transportation (10%) and housing and utilities (8%). They spend a smaller percentage on educational expenses, miscellaneous expenses and health care or medical expenses. ",Named Organization,Stanford Guaranteed Income Lab,,"Though data from the L.A. County guaranteed income program is limited, the Stanford Guaranteed Income Lab tracks 31 pilot programs throughout the country, including the Breathe pilot. "
35-Trump-Tariffs-Rattling-Meta,3.0,"Last year, the company disclosed that 10 percent of its revenue in 2023 was from Chinese companies spending heavily on advertising across Facebook and Instagram, an ad blitz aimed at garnering a foothold in lucrative Western markets.",Named Organization,Meta,,
35-Trump-Tariffs-Rattling-Meta,4.0,"Temu was estimated to have spent $3 billion in marketing costs in 2023 alone, according to estimates from Bernstein Research.",Named Organization,Bernstein Research,,
36-Whats-Wrong-With-Apple,2.0,"In a nearly two-hour video presentation last summer, Apple demonstrated how the A.I. product would summarize notifications and offer writing tools to improve emails and messages. It also revealed an improved Siri virtual assistant that could combine information on a phone, like a message about someone’s travel itinerary, with information on the web, like a flight arrival time.
",Named Organization,Apple,,
36-Whats-Wrong-With-Apple,5.0,"Some details of Apple’s changes to its Siri team and challenges were previously reported by Bloomberg and The Information.
",Named Organization,Bloomberg and The Information,,
37-DogWalker,5.0,"Haynes forced Dalton out of the vehicle and then ran her over, killing her, according to police.",Named Organization,Police,,
37-DogWalker,7.0,"Haynes was arrested the next day after police said they found his fingerprints in Dalton's car, which was abandoned at the park where Prince's body was discarded. ",Named Organization,,,
38-UC-enrollment,4.0,But an Assembly legislative analysis calculated that other state agencies are experiencing much lower cuts — around 2% or 3%.,Named Organization,California State Assembly,,
39-84pct-coral-reefs,1.0,"Harmful bleaching of the world’s coral has grown to include 84% of the ocean’s reefs in the most intense event of its kind in recorded history, the International Coral Reef Initiative announced Wednesday.",Named Organization,International Coral Relief Intiative,,"a mix of more than 100 governments, non-governmental organizations and others."
39-84pct-coral-reefs,2.0,"It’s the fourth global bleaching event since 1998, and has now surpassed bleaching from 2014-17 that hit some two-thirds of reefs, said the ICRI, a mix of more than 100 governments, non-governmental organizations and others.",Named Organization,International Coral Relief Intiative,,"a mix of more than 100 governments, non-governmental organizations and others."
4-SFO-Labor-Day,4.0,"United Airlines advised passengers to leave even more time. The Standard viewed one Friday-morning boarding pass for a Chicago-bound flight that warned of long security lines and recommended arriving three hours early.
",Named Organization,United Airlines,,The Standard viewed one Friday-morning boarding pass for a Chicago-bound flight
4-SFO-Labor-Day,5.0,"A United Airlines spokesperson said the three-hour warning was issued by mistake: somehow the company posted a years-old notice to the Chicago-bound boarding pass. The spokesperson shared a corrected advisory that suggested passengers “arrive early to avoid delays,” and to get a head start by checking bags from home and leaving luggage in the bag drop shortcut area at the airport.",Named Organization,United Airlines,,The spokesperson shared a corrected advisory 
4-SFO-Labor-Day,10.0,"There are no major projects on the freeways near SFO, so with a bit of luck, drivers headed to the airport shouldn’t face major delays, Caltrans officials said.
",Named Organization,Caltrans,,
40-SeattleProtest,3.0,"SUPER UW said in a statement about the protest that it was in response to a ""renewed wave of the student Intifada.""",Named Organization,SUPER UW,,Students United for Palestinian Equality and Return (SUPER UW) held a rally on campus Thursday
40-SeattleProtest,4.0,"""The University of Washington is a direct partner in the genocide of the Palestinian people through its allegiance to its partnership with Boeing,"" a statement from UW said.",Named Organization,UW,,
40-SeattleProtest,5.0,Super UW said the occupation of the building would not end until their demands were met to repurpose the building and divest from Boeing.,Named Organization,SUPER UW,,"Monday's protest targeted the Interdisciplinary Engineering Building, which was built with a $10 million donation from Boeing."
41-Christians-K12,7.0,"In a public statement, Fresno Christian Schools said it “takes all allegations of racial discrimination seriously” and acknowledged that J. Mason had raised concerns about racism earlier this year, and also requested financial compensation.",Named Organization,Fresno Christian Schools ,,
42-Uber-Lyft-CA,7.0,"According to a 2024 UC Berkeley Labor Center study, California gig rideshare drivers earn a median employee-equivalent pay of $5.97/hour, after expenses.",Named Organization,UC Berkeley Labor Center,,
42-Uber-Lyft-CA,8.0,"Even as average rideshare prices rose over 7% from 2023 to 2024, Uber driver earnings fell 3.4% and Lyft driver earnings dropped 13.9%, according to Gridwise, an app that helps drivers track mileage and optimize earnings.
",Named Organization,Gridwise,,
5-Humboldt-SF-homeless-bus,1.0,County supervisors learned of this from reporting in The Standard,Named Organization,The Standard,,
5-Humboldt-SF-homeless-bus,3.0,"Los Angeles and Sacramento counties are the two other most popular California destinations, according to SF’s Department of Homelessness and Supportive Housing and the Human Services Agency.",Named Organization,Department of Homelessness and Supportive Housing and the Human Services Agency,,
5-Humboldt-SF-homeless-bus,4.0,But new data obtained by The Standard from Humboldt’s own relocation program show that the county’s homeless people were bused to San Francisco on four occasions between October and March.,Named Organization,Humboldt County Transportation Assistance Program,,
5-Humboldt-SF-homeless-bus,5.0,"According to the program’s website, social services staffers verify that those who use TAP will be received at their destination by a relative, friend, or appropriate agency.",Named Organization,Humboldt County Transportation Assistance Program,,
5-Humboldt-SF-homeless-bus,6.0,"TABLE: Destinations of homeless people between Aug. 8, 2023, and Aug. 9, 2024, under Humboldt's Transportation Assistance Program.
",Named Organization,Humboldt County,,
6-OUSD-basic-job,5.0,"District leadership — including Superintendent Kyla Johnson-Trammell, chief systems and services officer Preston Thomas, and risk management officer Rebecca Littlejohn — committed to transparency going forward and said a personnel investigation is underway to determine how communication broke down. ",Named Organization,Oakland Unified School District,,
6-OUSD-basic-job,13.0,"District leaders on Wednesday said the lead came from the water fixtures, such as a sink faucet or water fountain spigot, and denied that it was an issue with pipes or the water source.",Named Organization,Oakland Unified School District,,
6-OUSD-basic-job,16.0,Alameda County recommends that any families who were notified that their schools had elevated lead levels should get their child a blood lead test.,Named Organization,Alameda County,,
6-OUSD-basic-job,17.0,"School sites will continue to be tested in five stages, district leaders said",Named Organization,Oakland Unified School District,,
6-OUSD-basic-job,25.0,"OUSD also committed to redesigning its water quality website and publishing a dashboard by Jan. 1 for community members to view test results.

",Named Organization,Oakland Unified School District,,
7-District7-Candidate-Sues,4.0,"Love had gathered 67 signatures in total and that three of the signatures were unfairly disqualified. One person had incorrectly printed their name in the signature box, for example, without submitting their legal signature. Two others used addresses different from the ones listed in their voter registration records, but they were still legitimate addresses inside District 7. They simply had not updated their registered addresses.",Named Organization,"Lawyers, Kaufman Legal Group",,
7-District7-Candidate-Sues,5.0,"These technical errors should not prevent the intent of the voters from being realized and the signatures counted towards verification, The Elections Code and Oakland Ordinances only require that registered voters residing within the District sign the petition. The three individuals who signed the nomination petition but did not have their signatures counted met these basic requirements and, in addition, substantially complied with the applicable law.",Named Organization,"Lawyers, Kaufman Legal Group",,
7-District7-Candidate-Sues,6.0,"The county attorneys countered in a brief that the state election code deems signatures on a nomination form invalid if they don’t include a signature and a printed name and if the address of the candidate’s supporter is not consistent with their voter registration form. 
",Named Organization,Alameda County,County Attorneys,
7-District7-Candidate-Sues,8.0,"Love’s lawyers argued that the same courtesy should apply to signatures for council candidates. 

",Named Organization,"Lawyers, Kaufman Legal Group",,
7-District7-Candidate-Sues,9.0,The lawyers asked the court to direct the registrar to validate those signatures and place Love on the Nov. 5 ballot,Named Organization,"Lawyers, Kaufman Legal Group",,
7-District7-Candidate-Sues,15.0,"The lawyer representing Love said that the judge could limit his ruling to the type of unusual last-minute circumstance this represents, in which a candidate had only a couple of days to gather signatures. 

",Named Organization,"Lawyers, Kaufman Legal Group",,
7-District7-Candidate-Sues,16.0,"But her attorneys said petitions for nominations could be obtained from the city clerk’s office only by appointment and that the earliest possible time she was able to obtain them was at 2 p.m. on the following Monday. That gave Love only about 48 hours to gather and validate the needed 50 signatures by the end of the day on Wednesday. 
",Named Organization,"Lawyers, Kaufman Legal Group",,
7-District7-Candidate-Sues,17.0,"Her lawyers also argued that the district has a low number of registered voters, making it harder for her to secure as many signatures. 

",Named Organization,"Lawyers, Kaufman Legal Group",,
7-District7-Candidate-Sues,18.0,"After Love’s lawyers submitted their petition on Aug. 20, the Alameda Court originally set a conference for September 24, but lawyers for the county asked for the hearing to be moved up to today, to ensure there was enough time to create the ballots. 
",Named Organization,"Lawyers, Kaufman Legal Group",,
8-primary-recount-complete,1.0,"Later that evening, the judges confirmed that McGuire had indeed defeated Good by 370 votes—only four fewer than what was originally determined on election night. ",Named Organization,three-panel recount court ,,"On August 1, a three-panel recount court reviewed the election returns that officials from 24 localities transported to the Goochland County Circuit Court"
